lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.495	36.153	83.75	2.7	3.6	1.9	deepHinduKush
71.215	36.458	83.76	3.2	3.1	1.9	deepHinduKush
70.896	36.094	83.78	3.0	4.4	1.9	deepHinduKush
71.143	36.379	83.80	3.3	4.4	1.9	deepHinduKush
71.357	36.547	83.81	3.2	4.5	1.9	deepHinduKush
69.739	36.055	83.82	2.6	4.7	1.9	deepHinduKush
70.744	36.066	83.85	3.3	2.9	1.9	deepHinduKush
71.363	36.511	83.85	3.5	2.7	1.9	deepHinduKush
71.516	36.747	83.86	4.1	3.6	-	deepHinduKush
70.521	35.715	83.91	3.0	4.3	-	deepHinduKush
69.555	35.605	83.93	3.6	3.9	-	deepHinduKush
71.168	36.354	83.95	3.2	5.5	1.9	deepHinduKush
71.203	36.372	83.99	3.8	2.9	1.9	deepHinduKush
71.266	36.611	83.99	2.7	4.1	1.9	deepHinduKush
70.914	36.257	84.01	2.8	4.8	1.9	deepHinduKush
71.121	36.487	84.01	1.9	4.7	1.9	deepHinduKush
71.328	36.368	84.01	3.8	2.7	1.9	deepHinduKush
71.081	36.154	84.04	3.3	7.0	1.9	deepHinduKush
71.200	36.489	84.08	4.9	3.4	1.9	deepHinduKush
70.586	35.906	84.10	3.0	4.2	1.9	deepHinduKush
70.671	35.957	84.16	3.7	4.0	1.9	deepHinduKush
70.505	36.059	84.20	3.5	3.0	1.9	deepHinduKush
70.609	36.179	84.22	3.0	3.3	1.9	deepHinduKush
69.654	35.935	84.24	3.8	5.7	-	deepHinduKush
70.319	35.936	84.30	3.4	3.7	-	deepHinduKush
71.303	36.301	84.36	5.1	3.2	1.9	deepHinduKush
71.209	36.352	84.53	3.1	4.0	1.9	deepHinduKush
71.419	36.650	84.54	3.2	4.1	1.9	deepHinduKush
71.389	36.533	84.57	2.6	2.6	1.9	deepHinduKush
71.156	36.299	84.61	3.0	3.8	1.9	deepHinduKush
70.812	36.111	84.66	3.1	8.8	-	deepHinduKush
71.390	36.288	84.66	3.3	5.2	1.9	deepHinduKush
69.689	36.025	84.69	2.7	5.3	1.9	deepHinduKush
71.142	36.204	84.79	4.0	2.8	1.9	deepHinduKush
69.370	36.060	84.84	3.3	4.5	1.9	deepHinduKush
70.507	35.996	84.85	2.8	3.3	1.9	deepHinduKush
71.289	36.256	84.98	3.1	2.9	1.9	deepHinduKush
67.853	36.370	85.01	3.8	21.2	-	deepHinduKush
70.572	36.207	85.03	2.7	2.7	1.9	deepHinduKush
69.773	36.111	85.09	2.8	3.9	1.9	deepHinduKush
69.554	36.100	85.12	3.5	2.9	1.9	deepHinduKush
70.472	36.176	85.18	3.0	3.1	1.9	deepHinduKush
71.228	36.488	85.23	3.3	3.8	1.9	deepHinduKush
70.831	36.213	85.25	3.4	3.1	1.9	deepHinduKush
70.472	35.998	85.28	3.3	3.6	1.9	deepHinduKush
71.255	36.496	85.30	3.4	3.5	1.9	deepHinduKush
71.424	36.661	85.34	2.9	3.2	1.9	deepHinduKush
71.088	36.397	85.41	3.1	5.9	1.9	deepHinduKush
71.287	36.518	85.42	2.7	5.2	1.9	deepHinduKush
71.157	36.397	85.52	3.8	3.1	1.9	deepHinduKush
71.793	36.526	85.53	3.0	2.9	-	deepHinduKush
71.092	36.597	85.56	2.4	5.9	1.9	deepHinduKush
70.367	36.064	85.66	3.1	3.2	1.9	deepHinduKush
71.047	36.237	85.67	3.4	3.9	1.9	deepHinduKush
70.465	36.006	85.70	3.1	3.1	1.9	deepHinduKush
71.250	36.270	85.72	3.6	4.5	1.9	deepHinduKush
71.400	36.620	85.72	2.6	4.1	1.9	deepHinduKush
71.115	36.173	85.73	4.4	2.8	1.9	deepHinduKush
71.281	36.522	85.74	3.8	4.4	1.9	deepHinduKush
71.063	36.189	85.80	3.4	3.6	1.9	deepHinduKush
71.221	36.521	85.81	2.8	3.4	1.9	deepHinduKush
70.503	36.242	85.85	3.3	3.1	1.9	deepHinduKush
70.986	36.289	85.87	2.9	6.4	1.9	deepHinduKush
71.120	36.373	85.88	2.8	3.8	1.9	deepHinduKush
71.856	36.603	85.95	2.6	4.4	1.9	deepHinduKush
71.283	36.464	86.14	5.1	2.6	1.9	deepHinduKush
70.457	35.966	86.16	3.9	4.0	1.9	deepHinduKush
71.147	36.129	86.24	2.9	3.8	-	deepHinduKush
70.592	35.967	86.25	3.8	7.8	1.9	deepHinduKush
70.379	36.074	86.27	3.0	3.2	1.9	deepHinduKush
69.635	36.078	86.31	2.4	5.5	1.9	deepHinduKush
70.550	36.162	86.34	4.1	2.5	1.9	deepHinduKush
70.353	36.081	86.43	2.8	2.8	1.9	deepHinduKush
71.319	36.512	86.46	3.4	4.3	1.9	deepHinduKush
69.547	36.175	86.55	3.0	5.7	-	deepHinduKush
70.534	36.137	86.56	2.9	4.1	1.9	deepHinduKush
71.207	36.249	86.59	2.9	3.5	1.9	deepHinduKush
69.945	36.089	86.63	2.6	4.3	1.9	deepHinduKush
71.273	36.467	86.66	3.5	2.6	1.9	deepHinduKush
70.147	36.104	86.67	3.2	3.4	1.9	deepHinduKush
71.355	36.518	86.69	3.2	3.5	1.9	deepHinduKush
70.536	35.978	86.72	2.3	5.4	1.9	deepHinduKush
71.242	36.505	86.72	3.4	4.7	1.9	deepHinduKush
71.370	36.469	86.78	3.5	3.9	1.9	deepHinduKush
71.191	36.461	86.79	2.2	4.7	1.9	deepHinduKush
71.368	36.551	86.80	3.8	4.0	1.9	deepHinduKush
70.978	36.096	86.83	3.7	5.5	1.9	deepHinduKush
70.880	36.201	86.86	2.0	8.0	1.9	deepHinduKush
71.320	36.486	86.87	2.2	3.8	1.9	deepHinduKush
71.362	36.538	86.90	2.6	4.3	1.9	deepHinduKush
71.314	36.556	86.97	3.8	4.9	1.9	deepHinduKush
69.801	36.074	86.99	2.6	4.2	1.9	deepHinduKush
71.257	36.578	87.04	2.7	5.4	1.9	deepHinduKush
71.296	36.504	87.06	3.0	4.2	1.9	deepHinduKush
70.830	36.373	87.10	2.6	4.8	1.9	deepHinduKush
70.639	36.177	87.14	2.8	4.1	1.9	deepHinduKush
69.768	36.347	87.18	2.4	8.4	-	deepHinduKush
70.077	36.067	87.20	3.3	4.0	1.9	deepHinduKush
70.483	36.144	87.22	3.4	6.4	1.9	deepHinduKush
71.346	36.525	87.23	2.7	4.1	1.9	deepHinduKush
70.885	36.337	87.25	3.2	4.8	1.9	deepHinduKush
71.464	36.661	87.26	2.7	4.7	1.9	deepHinduKush
70.441	35.994	87.27	2.8	3.6	1.9	deepHinduKush
71.306	36.524	87.40	2.7	3.7	1.9	deepHinduKush
71.256	36.279	87.41	3.1	2.9	1.9	deepHinduKush
70.482	35.955	87.44	3.9	6.7	1.9	deepHinduKush
69.505	36.119	87.46	3.1	5.7	1.9	deepHinduKush
70.682	36.188	87.46	2.8	3.8	1.9	deepHinduKush
70.327	36.076	87.59	3.3	5.5	1.9	deepHinduKush
71.077	36.264	87.60	3.3	3.4	1.9	deepHinduKush
70.320	36.064	87.62	3.0	6.3	1.9	deepHinduKush
71.547	36.502	87.65	2.6	3.2	1.9	deepHinduKush
71.329	36.489	87.69	3.7	2.3	1.9	deepHinduKush
71.381	36.373	87.74	4.0	5.1	1.9	deepHinduKush
71.356	36.548	87.82	3.6	2.7	1.9	deepHinduKush
71.242	36.331	87.83	3.4	6.1	1.9	deepHinduKush
71.168	36.221	87.86	4.7	6.8	1.9	deepHinduKush
71.363	36.497	87.86	2.8	3.5	1.9	deepHinduKush
69.907	36.063	87.88	4.0	6.3	1.9	deepHinduKush
71.158	36.229	87.88	3.3	3.7	1.9	deepHinduKush
70.818	36.520	87.93	3.0	4.8	-	deepHinduKush
71.349	36.502	87.93	3.9	3.4	1.9	deepHinduKush
70.868	35.781	87.98	3.0	5.5	-	deepHinduKush
70.025	36.007	88.02	3.1	3.7	1.9	deepHinduKush
71.301	36.207	88.06	3.6	3.3	1.9	deepHinduKush
72.136	36.658	88.06	2.9	3.6	-	deepHinduKush
70.243	36.046	88.07	2.7	5.1	1.9	deepHinduKush
71.259	36.524	88.09	2.9	7.5	1.9	deepHinduKush
71.362	36.430	88.09	2.8	3.7	1.9	deepHinduKush
70.868	36.073	88.11	3.5	2.9	-	deepHinduKush
71.361	36.520	88.13	2.0	5.2	1.9	deepHinduKush
71.224	36.273	88.14	3.1	3.3	1.9	deepHinduKush
71.278	36.488	88.16	3.0	3.6	1.9	deepHinduKush
71.208	36.304	88.20	3.3	4.5	1.9	deepHinduKush
71.064	36.470	88.23	2.5	3.9	1.9	deepHinduKush
70.430	36.037	88.24	2.6	3.7	1.9	deepHinduKush
70.498	36.141	88.24	3.3	3.7	1.9	deepHinduKush
71.328	36.470	88.25	4.0	2.5	1.9	deepHinduKush
69.686	35.835	88.29	3.0	8.3	-	deepHinduKush
71.340	36.492	88.29	3.2	3.8	1.9	deepHinduKush
71.288	36.494	88.33	2.8	5.3	1.9	deepHinduKush
70.470	36.280	88.39	3.0	4.2	1.9	deepHinduKush
71.138	36.301	88.39	3.6	2.8	1.9	deepHinduKush
70.586	35.960	88.40	4.8	5.2	-	deepHinduKush
71.131	36.282	88.42	3.4	5.3	1.9	deepHinduKush
71.417	36.635	88.43	3.7	3.1	1.9	deepHinduKush
71.349	36.444	88.48	2.3	3.9	1.9	deepHinduKush
70.761	36.209	88.53	2.1	3.7	1.9	deepHinduKush
71.190	36.473	88.55	4.0	4.0	1.9	deepHinduKush
71.348	36.488	88.56	2.5	3.8	1.9	deepHinduKush
69.391	36.070	88.60	3.3	4.8	1.9	deepHinduKush
71.281	36.486	88.65	3.1	4.5	1.9	deepHinduKush
71.094	36.319	88.67	3.6	6.0	1.9	deepHinduKush
70.659	36.018	88.69	3.0	4.7	1.9	deepHinduKush
71.365	36.551	88.69	4.1	2.5	1.9	deepHinduKush
71.320	36.290	88.70	4.0	2.8	1.9	deepHinduKush
70.330	36.049	88.73	3.0	3.5	1.9	deepHinduKush
71.127	36.196	88.74	3.0	4.2	1.9	deepHinduKush
71.161	36.296	88.77	2.9	2.8	1.9	deepHinduKush
70.419	36.043	88.84	3.0	4.4	1.9	deepHinduKush
70.365	36.095	88.86	3.0	7.2	1.9	deepHinduKush
71.065	36.457	88.88	3.0	4.2	1.9	deepHinduKush
71.426	36.620	88.91	2.7	4.5	1.9	deepHinduKush
70.758	36.225	88.95	2.8	4.1	1.9	deepHinduKush
71.111	36.464	88.95	2.7	4.1	1.9	deepHinduKush
70.412	36.103	88.96	3.0	7.8	1.9	deepHinduKush
70.573	35.916	88.97	3.1	8.5	-	deepHinduKush
71.279	36.349	88.98	3.9	3.1	1.9	deepHinduKush
71.296	36.478	88.98	3.4	4.1	1.9	deepHinduKush
70.696	36.214	89.01	3.2	2.8	1.9	deepHinduKush
71.133	36.206	89.02	3.7	2.5	1.9	deepHinduKush
71.339	36.419	89.16	3.8	2.2	1.9	deepHinduKush
71.287	36.468	89.20	2.7	3.3	1.9	deepHinduKush
71.134	36.694	89.21	2.5	5.5	-	deepHinduKush
71.312	36.482	89.27	3.2	3.1	1.9	deepHinduKush
70.733	36.218	89.32	3.7	3.1	1.9	deepHinduKush
70.501	36.110	89.33	2.3	3.4	1.9	deepHinduKush
71.434	36.593	89.34	3.4	3.4	1.9	deepHinduKush
71.301	36.493	89.36	2.7	3.5	1.9	deepHinduKush
71.127	36.113	89.41	3.0	6.3	1.9	deepHinduKush
71.447	36.627	89.41	3.7	3.5	1.9	deepHinduKush
71.012	36.231	89.43	3.6	6.1	1.9	deepHinduKush
70.238	36.085	89.44	3.0	3.9	1.9	deepHinduKush
70.889	36.249	89.44	3.7	2.9	1.9	deepHinduKush
71.383	36.517	89.46	3.8	2.8	1.9	deepHinduKush
71.105	36.214	89.47	2.7	7.8	1.9	deepHinduKush
71.451	36.647	89.51	3.1	3.5	1.9	deepHinduKush
71.064	36.442	89.53	3.3	5.5	1.9	deepHinduKush
71.322	36.416	89.62	2.7	5.0	1.9	deepHinduKush
70.852	36.306	89.64	2.8	2.7	1.9	deepHinduKush
71.237	36.410	89.71	2.6	5.8	1.9	deepHinduKush
70.375	36.071	89.75	2.8	3.4	1.9	deepHinduKush
71.067	36.347	89.76	2.9	3.0	1.9	deepHinduKush
71.324	36.471	89.80	3.9	4.3	1.9	deepHinduKush
68.982	36.081	89.87	2.5	6.1	-	deepHinduKush
70.756	36.110	89.89	3.5	2.9	-	deepHinduKush
70.569	36.198	89.93	2.5	5.7	1.9	deepHinduKush
70.608	35.887	90.04	2.6	4.7	1.9	deepHinduKush
71.365	36.510	90.05	3.7	3.1	1.9	deepHinduKush
71.012	36.238	90.07	2.8	3.7	1.9	deepHinduKush
70.499	36.116	90.08	3.6	2.9	1.9	deepHinduKush
71.311	36.469	90.15	3.8	2.7	1.9	deepHinduKush
69.819	36.004	90.18	3.2	3.9	1.9	deepHinduKush
71.608	36.486	90.28	2.9	3.6	1.9	deepHinduKush
69.302	35.780	90.45	3.4	5.5	-	deepHinduKush
71.322	36.443	90.46	2.2	6.1	1.9	deepHinduKush
71.318	36.401	90.55	4.5	3.6	1.9	deepHinduKush
70.596	36.155	90.56	2.9	3.7	1.9	deepHinduKush
71.339	36.434	90.62	3.4	3.0	1.9	deepHinduKush
72.109	36.570	90.65	2.6	3.9	-	deepHinduKush
70.997	36.208	90.77	2.8	4.5	1.9	deepHinduKush
71.213	36.495	90.81	3.8	2.8	1.9	deepHinduKush
71.307	36.470	90.85	4.1	2.6	1.9	deepHinduKush
71.567	36.401	90.90	5.3	3.6	-	deepHinduKush
70.773	36.329	90.93	3.5	3.7	1.9	deepHinduKush
71.028	36.208	90.93	3.0	3.4	1.9	deepHinduKush
70.814	36.248	90.97	4.5	3.3	1.9	deepHinduKush
71.316	36.361	90.98	4.1	2.2	1.9	deepHinduKush
71.378	36.511	91.03	4.3	2.3	1.9	deepHinduKush
71.402	36.543	91.09	3.0	3.0	1.9	deepHinduKush
71.522	36.532	91.13	3.6	2.3	1.9	deepHinduKush
71.254	36.608	91.15	3.7	4.1	1.9	deepHinduKush
70.726	36.222	91.23	2.7	4.9	1.9	deepHinduKush
71.482	36.558	91.25	5.2	2.7	1.9	deepHinduKush
71.415	36.614	91.26	2.9	3.0	1.9	deepHinduKush
71.311	36.448	91.32	3.2	3.2	1.9	deepHinduKush
70.716	35.951	91.36	3.4	4.1	1.9	deepHinduKush
70.482	36.129	91.37	2.7	7.5	1.9	deepHinduKush
71.307	36.456	91.37	2.9	4.2	1.9	deepHinduKush
71.347	36.422	91.39	3.0	2.6	1.9	deepHinduKush
71.173	36.338	91.47	3.9	3.0	1.9	deepHinduKush
71.416	36.572	91.55	3.4	2.6	1.9	deepHinduKush
71.251	36.454	91.56	3.7	2.8	1.9	deepHinduKush
71.300	36.438	91.59	2.5	3.9	1.9	deepHinduKush
70.440	36.080	91.65	2.7	3.3	1.9	deepHinduKush
71.841	36.654	91.66	3.3	5.1	-	deepHinduKush
71.089	36.419	91.69	3.4	5.3	1.9	deepHinduKush
70.396	36.108	91.70	2.9	3.2	1.9	deepHinduKush
70.689	36.014	91.71	2.9	5.6	1.9	deepHinduKush
71.416	36.435	91.74	3.5	2.9	1.9	deepHinduKush
72.303	36.624	91.74	2.4	4.7	-	deepHinduKush
71.216	36.495	91.78	3.5	3.6	1.9	deepHinduKush
71.140	36.460	91.83	3.9	2.5	1.9	deepHinduKush
71.283	36.481	91.85	2.9	3.2	1.9	deepHinduKush
70.369	36.161	91.86	2.5	4.9	1.9	deepHinduKush
71.325	36.208	91.88	3.1	2.7	1.9	deepHinduKush
71.348	36.473	91.88	3.2	3.3	1.9	deepHinduKush
71.441	36.626	92.06	3.2	4.0	1.9	deepHinduKush
71.088	36.192	92.11	2.7	6.8	1.9	deepHinduKush
70.190	36.141	92.15	2.9	4.5	1.9	deepHinduKush
71.375	36.484	92.17	2.6	5.7	1.9	deepHinduKush
71.308	36.441	92.18	2.6	3.1	1.9	deepHinduKush
71.208	36.518	92.21	2.9	3.5	1.9	deepHinduKush
71.020	36.368	92.25	3.6	3.0	1.9	deepHinduKush
71.121	36.342	92.25	4.5	3.9	-	deepHinduKush
71.282	36.410	92.30	2.6	3.6	1.9	deepHinduKush
71.123	36.410	92.32	3.1	6.5	1.9	deepHinduKush
69.150	35.927	92.33	3.6	8.4	-	deepHinduKush
70.125	36.085	92.38	3.6	5.9	1.9	deepHinduKush
69.402	36.086	92.39	2.9	10.2	1.9	deepHinduKush
71.054	36.398	92.44	3.0	4.4	1.9	deepHinduKush
69.040	36.133	92.45	2.5	9.4	-	deepHinduKush
71.105	36.350	92.49	2.9	3.0	1.9	deepHinduKush
71.142	36.296	92.56	3.3	2.9	1.9	deepHinduKush
69.419	36.177	92.57	4.3	3.5	-	deepHinduKush
70.756	36.220	92.64	2.4	4.0	1.9	deepHinduKush
69.718	36.162	92.69	2.9	4.2	-	deepHinduKush
71.226	36.479	92.69	4.4	2.3	1.9	deepHinduKush
70.631	36.057	92.73	2.7	6.8	-	deepHinduKush
71.343	36.364	92.85	3.4	5.1	1.9	deepHinduKush
70.717	36.385	92.92	2.9	5.0	1.9	deepHinduKush
71.344	36.453	92.93	2.6	4.2	1.9	deepHinduKush
71.219	36.495	92.98	2.6	3.4	1.9	deepHinduKush
71.313	36.458	92.99	2.9	3.5	1.9	deepHinduKush
70.386	36.214	93.02	2.8	3.4	1.9	deepHinduKush
69.418	36.128	93.06	2.4	11.7	1.9	deepHinduKush
71.232	36.501	93.11	2.5	4.0	1.9	deepHinduKush
70.346	36.072	93.17	2.5	3.7	1.9	deepHinduKush
71.337	36.439	93.20	5.7	3.6	1.9	deepHinduKush
70.473	36.192	93.23	3.4	3.5	1.9	deepHinduKush
71.391	36.378	93.25	3.0	3.6	1.9	deepHinduKush
71.069	36.484	93.29	3.4	5.2	1.9	deepHinduKush
71.021	36.389	93.30	2.8	3.8	1.9	deepHinduKush
71.229	36.461	93.37	3.6	2.4	1.9	deepHinduKush
71.363	36.461	93.39	2.7	3.0	1.9	deepHinduKush
71.031	36.109	93.40	2.6	3.2	1.9	deepHinduKush
71.283	36.523	93.44	2.9	3.2	1.9	deepHinduKush
71.113	36.319	93.45	3.3	2.9	1.9	deepHinduKush
71.294	36.452	93.51	2.3	4.1	1.9	deepHinduKush
71.377	36.488	93.51	3.0	3.0	1.9	deepHinduKush
71.285	36.568	93.56	2.6	3.4	1.9	deepHinduKush
70.576	36.195	93.57	2.8	3.8	1.9	deepHinduKush
71.340	36.367	93.61	3.2	-	1.9	deepHinduKush
70.471	36.161	93.63	2.8	2.6	1.9	deepHinduKush
71.314	36.521	93.67	2.9	5.0	1.9	deepHinduKush
70.788	36.386	93.74	2.5	4.4	1.9	deepHinduKush
70.733	36.203	93.77	3.4	4.0	1.9	deepHinduKush
71.330	36.436	93.78	3.3	2.6	1.9	deepHinduKush
71.160	36.533	93.81	4.8	4.4	-	deepHinduKush
71.466	36.660	93.83	2.1	6.7	1.9	deepHinduKush
71.290	36.435	93.84	3.3	2.4	1.9	deepHinduKush
70.357	36.100	93.85	2.5	4.3	1.9	deepHinduKush
71.293	36.424	93.85	3.7	3.9	1.9	deepHinduKush
71.283	36.470	93.90	3.5	3.0	1.9	deepHinduKush
71.323	36.443	93.90	4.2	3.5	1.9	deepHinduKush
69.311	36.055	93.95	2.8	3.9	1.9	deepHinduKush
71.377	36.480	93.95	3.7	2.5	1.9	deepHinduKush
70.497	36.115	93.97	3.2	5.7	1.9	deepHinduKush
71.204	36.401	93.97	3.2	4.0	1.9	deepHinduKush
71.306	36.519	93.97	2.5	3.5	1.9	deepHinduKush
71.108	36.330	94.05	3.0	3.0	1.9	deepHinduKush
71.260	36.431	94.18	2.0	4.2	1.9	deepHinduKush
71.280	36.446	94.18	3.2	2.4	1.9	deepHinduKush
71.278	36.422	94.31	3.0	3.0	1.9	deepHinduKush
71.236	36.513	94.34	4.4	2.5	1.9	deepHinduKush
72.052	36.477	94.39	2.8	3.9	-	deepHinduKush
70.541	36.095	94.40	2.8	7.5	1.9	deepHinduKush
71.178	36.486	94.41	3.4	5.2	1.9	deepHinduKush
71.287	36.535	94.43	2.8	3.5	1.9	deepHinduKush
70.963	36.479	94.62	2.7	4.7	1.9	deepHinduKush
70.031	36.129	94.63	2.9	4.2	1.9	deepHinduKush
71.162	36.576	94.64	3.0	3.9	1.9	deepHinduKush
71.228	36.485	94.64	2.5	5.3	1.9	deepHinduKush
70.973	36.186	94.71	3.1	10.6	-	deepHinduKush
71.379	36.527	94.72	3.0	3.2	1.9	deepHinduKush
71.072	36.403	94.74	3.1	3.7	1.9	deepHinduKush
70.142	36.200	94.75	2.8	5.6	1.9	deepHinduKush
71.232	36.325	94.75	3.0	3.8	1.9	deepHinduKush
71.465	36.275	94.75	3.0	4.6	-	deepHinduKush
71.095	36.394	94.76	3.1	2.6	1.9	deepHinduKush
69.473	36.063	94.79	2.7	4.2	1.9	deepHinduKush
69.955	36.110	94.79	2.5	4.5	1.9	deepHinduKush
71.425	36.568	94.83	3.6	3.4	1.9	deepHinduKush
71.294	36.420	94.85	2.3	6.4	1.9	deepHinduKush
71.067	36.226	94.86	3.4	2.7	1.9	deepHinduKush
71.399	36.448	94.86	3.2	3.3	1.9	deepHinduKush
70.501	36.084	94.89	3.1	3.8	1.9	deepHinduKush
70.930	36.627	94.93	3.4	6.0	-	deepHinduKush
71.387	36.376	94.95	3.4	2.6	1.9	deepHinduKush
71.198	36.511	95.04	3.1	3.1	1.9	deepHinduKush
71.373	36.390	95.11	3.7	2.8	1.9	deepHinduKush
70.767	36.202	95.14	3.3	6.1	1.9	deepHinduKush
71.401	36.485	95.19	3.2	3.0	1.9	deepHinduKush
71.094	36.054	95.21	2.4	11.4	1.9	deepHinduKush
71.119	36.300	95.23	2.7	5.4	1.9	deepHinduKush
71.289	36.426	95.28	2.5	4.8	1.9	deepHinduKush
71.205	36.164	95.39	3.2	4.7	1.9	deepHinduKush
69.314	35.829	95.40	2.6	5.1	-	deepHinduKush
71.874	36.616	95.44	3.5	3.1	1.9	deepHinduKush
71.331	36.437	95.46	4.1	2.6	1.9	deepHinduKush
71.200	36.577	95.47	3.8	3.8	1.9	deepHinduKush
71.118	36.451	95.53	2.8	4.2	1.9	deepHinduKush
71.322	36.430	95.54	3.2	3.1	1.9	deepHinduKush
71.322	36.517	95.59	2.7	3.4	1.9	deepHinduKush
70.383	36.091	95.61	3.5	2.9	1.9	deepHinduKush
70.460	36.069	95.67	3.0	4.6	1.9	deepHinduKush
70.073	36.165	95.72	3.2	2.9	1.9	deepHinduKush
71.305	36.436	95.72	2.5	3.7	1.9	deepHinduKush
71.091	36.390	95.84	3.5	2.8	1.9	deepHinduKush
71.136	36.469	95.91	2.8	3.8	1.9	deepHinduKush
70.451	36.229	96.08	2.6	7.3	1.9	deepHinduKush
71.330	36.417	96.09	3.5	4.8	1.9	deepHinduKush
70.960	36.197	96.10	2.8	6.1	1.9	deepHinduKush
70.835	35.839	96.16	3.0	3.9	-	deepHinduKush
71.415	36.633	96.24	3.7	4.3	1.9	deepHinduKush
70.989	36.211	96.27	3.6	2.8	1.9	deepHinduKush
71.243	36.535	96.28	2.7	3.7	1.9	deepHinduKush
70.732	36.185	96.35	4.6	2.6	1.9	deepHinduKush
71.141	36.468	96.35	2.8	8.2	1.9	deepHinduKush
70.492	36.139	96.40	2.9	9.8	1.9	deepHinduKush
70.541	36.111	96.56	2.9	4.2	1.9	deepHinduKush
70.584	36.153	96.57	2.7	4.4	1.9	deepHinduKush
70.373	36.216	96.67	2.8	3.4	1.9	deepHinduKush
70.417	36.116	96.67	3.7	4.2	1.9	deepHinduKush
71.325	36.108	96.67	5.1	7.9	-	deepHinduKush
71.317	36.641	96.77	4.2	3.1	1.9	deepHinduKush
71.154	36.474	96.80	2.8	3.4	1.9	deepHinduKush
71.116	36.338	96.90	3.5	3.6	1.9	deepHinduKush
71.096	36.320	96.99	2.7	3.6	1.9	deepHinduKush
71.213	36.463	97.00	3.0	4.0	1.9	deepHinduKush
71.318	36.528	97.04	3.0	4.3	1.9	deepHinduKush
71.105	36.465	97.08	2.7	4.1	1.9	deepHinduKush
71.109	36.479	97.10	3.0	4.6	1.9	deepHinduKush
71.180	36.472	97.11	4.7	3.8	1.9	deepHinduKush
69.501	36.025	97.18	3.0	4.1	1.9	deepHinduKush
70.772	36.231	97.19	3.6	2.6	1.9	deepHinduKush
70.375	36.113	97.20	2.4	4.2	1.9	deepHinduKush
71.140	36.385	97.20	3.7	3.3	1.9	deepHinduKush
71.476	36.291	97.20	3.4	2.8	-	deepHinduKush
69.605	35.477	97.21	2.8	15.2	-	deepHinduKush
71.849	35.738	97.21	3.5	6.1	-	deepHinduKush
70.263	36.114	97.22	2.7	8.4	1.9	deepHinduKush
71.094	36.387	97.27	2.9	4.7	1.9	deepHinduKush
71.281	36.305	97.31	3.6	3.0	1.9	deepHinduKush
70.581	36.115	97.36	3.1	3.2	1.9	deepHinduKush
69.575	35.981	97.44	3.3	10.5	1.9	deepHinduKush
71.141	36.480	97.52	3.1	4.1	1.9	deepHinduKush
70.919	36.285	97.57	3.3	5.7	1.9	deepHinduKush
70.171	36.143	97.67	3.1	6.8	1.9	deepHinduKush
71.247	36.514	97.73	3.5	2.7	1.9	deepHinduKush
70.953	36.403	97.78	3.5	3.1	1.9	deepHinduKush
71.163	36.212	97.82	3.5	2.6	1.9	deepHinduKush
71.138	36.422	97.85	3.8	7.0	1.9	deepHinduKush
74.222	36.428	97.85	3.9	10.6	-	deepHinduKush
69.522	35.960	97.86	5.6	6.3	1.9	deepHinduKush
71.124	36.308	97.89	4.8	2.3	1.9	deepHinduKush
71.134	36.425	97.92	3.6	2.7	1.9	deepHinduKush
69.419	36.161	97.97	3.1	4.2	1.9	deepHinduKush
71.109	36.416	97.97	3.3	4.6	1.9	deepHinduKush
70.313	36.157	98.00	3.0	3.4	1.9	deepHinduKush
70.976	36.374	98.01	2.4	4.4	1.9	deepHinduKush
71.070	36.305	98.03	3.8	2.3	1.9	deepHinduKush
70.344	36.209	98.07	3.0	3.7	1.9	deepHinduKush
71.071	36.415	98.08	2.8	4.5	1.9	deepHinduKush
71.529	36.575	98.08	3.2	2.5	1.9	deepHinduKush
70.235	36.182	98.09	2.5	4.1	1.9	deepHinduKush
70.438	35.983	98.17	2.8	4.4	1.9	deepHinduKush
71.283	36.496	98.17	4.0	3.0	1.9	deepHinduKush
70.284	36.039	98.18	3.0	7.8	1.9	deepHinduKush
71.179	36.332	98.27	2.8	4.3	1.9	deepHinduKush
71.280	36.260	98.31	2.9	3.9	1.9	deepHinduKush
71.062	36.389	98.46	2.8	5.8	1.9	deepHinduKush
71.116	36.358	98.50	2.9	3.3	1.9	deepHinduKush
70.765	36.321	98.63	3.2	3.2	1.9	deepHinduKush
71.115	36.426	98.63	3.8	3.0	1.9	deepHinduKush
71.176	36.458	98.68	2.8	8.1	1.9	deepHinduKush
71.275	36.551	98.69	2.7	6.9	1.9	deepHinduKush
71.136	36.303	98.74	2.9	3.6	1.9	deepHinduKush
71.072	36.415	98.75	2.7	4.0	1.9	deepHinduKush
70.517	36.224	98.79	3.3	3.0	1.9	deepHinduKush
