lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
71.400	36.693	69.21	3.2	3.9	1.9	deepHinduKush
71.214	36.758	69.24	2.7	2.8	1.9	deepHinduKush
71.305	36.783	69.25	2.8	3.0	1.9	deepHinduKush
71.331	36.516	69.45	2.9	3.3	1.9	deepHinduKush
70.965	36.172	69.54	3.2	5.4	1.9	deepHinduKush
70.610	35.720	69.55	2.5	4.3	-	deepHinduKush
71.263	36.545	69.73	2.2	3.7	1.9	deepHinduKush
71.031	35.997	69.75	3.7	4.9	-	deepHinduKush
69.221	36.085	69.81	3.2	6.6	-	deepHinduKush
71.284	36.400	69.97	3.4	5.2	1.9	deepHinduKush
71.294	36.362	70.03	3.0	6.0	1.9	deepHinduKush
71.037	35.942	70.09	2.8	3.7	-	deepHinduKush
71.272	36.455	70.27	3.0	2.6	1.9	deepHinduKush
71.184	36.359	70.44	3.5	6.1	1.9	deepHinduKush
70.721	36.372	70.50	2.6	4.5	-	deepHinduKush
70.375	36.155	70.56	2.6	4.1	1.9	deepHinduKush
71.220	36.409	70.67	4.0	2.6	1.9	deepHinduKush
70.803	36.370	70.82	2.8	5.3	-	deepHinduKush
71.439	36.484	70.86	3.6	2.2	1.9	deepHinduKush
71.251	36.490	70.93	4.0	2.4	1.9	deepHinduKush
69.150	36.000	70.98	4.6	6.7	-	deepHinduKush
71.155	36.548	71.01	3.0	4.9	-	deepHinduKush
69.661	35.525	71.05	3.4	3.6	1.9	deepHinduKush
70.977	36.100	71.22	2.7	4.6	1.9	deepHinduKush
71.420	36.700	71.25	3.2	4.6	1.9	deepHinduKush
71.159	36.451	71.64	3.4	3.3	1.9	deepHinduKush
70.768	36.574	71.66	2.3	9.5	-	deepHinduKush
71.324	36.501	71.66	3.0	3.7	1.9	deepHinduKush
71.265	36.555	71.67	2.8	3.3	1.9	deepHinduKush
71.116	36.667	71.75	2.2	13.2	-	deepHinduKush
69.660	35.568	71.76	4.1	3.4	1.9	deepHinduKush
68.490	35.600	71.80	4.9	16.1	-	deepHinduKush
70.442	36.237	71.85	2.7	8.1	-	deepHinduKush
70.974	36.145	71.90	2.9	5.3	1.9	deepHinduKush
70.496	36.169	71.97	2.9	2.9	1.9	deepHinduKush
71.618	36.607	72.15	4.5	4.5	-	deepHinduKush
71.227	36.461	72.81	4.0	3.3	1.9	deepHinduKush
73.525	35.559	72.82	3.4	20.3	-	deepHinduKush
71.181	36.670	72.87	3.3	6.2	1.9	deepHinduKush
71.431	36.535	73.00	4.7	1.8	1.9	deepHinduKush
71.113	36.067	73.02	3.1	6.7	-	deepHinduKush
69.764	36.036	73.15	3.5	3.1	1.9	deepHinduKush
71.058	36.472	73.24	3.0	11.3	-	deepHinduKush
71.439	36.529	73.24	5.5	2.1	1.9	deepHinduKush
70.230	36.039	73.28	3.2	3.9	-	deepHinduKush
70.538	36.164	73.40	2.8	3.3	1.9	deepHinduKush
71.234	36.610	73.75	2.7	3.4	1.9	deepHinduKush
71.360	36.353	73.77	3.3	3.2	1.9	deepHinduKush
71.100	36.485	73.90	3.0	9.9	1.9	deepHinduKush
